Medicine Name ,Category ,price,Stock,Expiry Date ,Unit 
ABDOMINAL BINDER,Medical Supply,230.00,6,2026-11-10,Medical Supply
ACETON 30ML,Topical/Skin,140.00,20,2029-04-21,Unit
ACETYLCYSTEINE 200MG POWDER,Respiratory,19.50,52,2026-11-03,Powder
ACETYLCYSTEINE 600MG POWDER,Respiratory,30.00,52,2029-08-06,Powder
ACICLOVIR 400MG TABLET,Antiviral,75.00,10,2029-12-20,Tablet
ACICLOVIR 800MG TABLET,Antiviral,110.00,7,2029-06-24,Tablet
ACICLOVIR CREAM 10G,Antiviral,18.10,18,2028-05-10,Cream/Ointment
ADULT DIAPER MED,Personal Care/Hygiene,65.00,13,2027-09-07,Consumer
ADVIL,Pain Relief/Analgesic,45.00,121,2026-10-27,Unit
AGUA 120ML,Medical Supply,230.00,39,2028-07-07,Unit
AGUA 60ML,Medical Supply,150.00,33,2028-09-30,Unit
ALAXAN FR,Pain Relief/Analgesic,45.00,56,2027-03-17,Unit
ALCAMFORADO 25ML,Topical/Skin,130.00,53,2028-11-06,Unit
ALCAMFORADO 50ML,Topical/Skin,160.00,26,2029-02-04,Unit
ALLERKID (CETIRIZINE) SYR 60ML,Antihistamine,11.20,127,2028-10-07,Syrup
ALLOPURINOL 100MG TABLET,Gout/Uric Acid,16.40,29,2028-03-11,Tablet
ALLOPURINOL 300MG TABLET,Gout/Uric Acid,35.00,27,2029-07-04,Tablet
ALNIX (CETIRIZINE) SYRUP 60ML,Antihistamine,15.60,35,2029-11-01,Syrup
ALNIX PLUS CETI SYRUP 60ML,Antihistamine,25.00,12,2028-12-06,Syrup
ALTHEA PILLS,Contraceptive/Hormonal,210.00,23,2029-08-03,Pill
ALUMINUM MAGNESIUM SYR 60ML,Antacid/GI,45.00,60,2028-11-06,Syrup
ALUMINUM MAGNESIUM TABLET,Antacid/GI,45.00,50,2028-02-10,Tablet
AMBROXOL 15MG SYR,Respiratory/Mucolytic,11.10,19,2028-09-07,Syrup
AMBROXOL 30MG SYR,Respiratory/Mucolytic,75.00,59,2028-07-09,Syrup
AMBROXOL CAPSULE,Respiratory/Mucolytic,65.00,29,2028-08-08,Capsule
AMBROXOL DROPS,Respiratory/Mucolytic,40.00,58,2028-11-06,Drops
AMBROXOL TABLET,Respiratory/Mucolytic,18.90,27,2028-06-09,Tablet
AMLODIPE+LOSARTAN 5/50MG,Cardiovascular,120.00,49,2029-09-02,Unit
AMLODIPINE 10MG,Cardiovascular,120.00,43,2029-08-03,Unit
AMLODIPINE 5MG,Cardiovascular,35.00,51,2028-07-09,Unit
AMOXICILLIN 125MG SUSPENSION,Antibiotic,25.00,78,2028-08-08,Suspension
AMOXICILLIN 250MG SUSPENSION,Antibiotic,95.00,111,2029-05-05,Suspension
AMOXICILLIN 500MG CAPSULE,Antibiotic,30.00,71,2028-01-11,Capsule
AMOXICILLIN DROP,Antibiotic,30.00,34,2028-10-07,Drops
AMPAO SMALL,Medical Supply,150.00,9,2029-07-04,Unit
ARM SLING,Medical Supply,320.00,41,2030-01-30,Medical Supply
ASCOF FORTE SYR 120ML,Respiratory/Mucolytic,20.00,36,2028-12-06,Syrup
ASCOF SYR 60ML,Respiratory/Mucolytic,65.00,46,2029-02-04,Syrup
ASCORBIC 500MG TABLET,Vitamins/Supplements,55.00,47,2028-09-07,Tablet
ASCORBIC SYR 60ML,Vitamins/Supplements,260.00,98,2028-10-07,Syrup
ASCORVIC+ZINC SYR 120ML,Vitamins/Supplements,260.00,32,2029-03-06,Syrup
ASPIRIN 100MG,Pain Relief/Analgesic,35.00,19,2028-04-10,Unit
ASPIRIN 80MG,Cardiovascular,95.00,10,2029-12-01,Unit
ATORVASTATIN 10MG,Cardiovascular/Lipid,13.80,12,2028-04-10,Unit
ATORVASTATIN 20MG,Cardiovascular/Lipid,60.00,55,2029-09-02,Unit
ATORVASTATIN 40MG,Cardiovascular/Lipid,45.00,9,2028-12-06,Unit
ATORVASTATIN 80MG,Cardiovascular/Lipid,40.00,34,2029-04-05,Unit
AUGMENTIN SUSPENSION 228.5MG,Antibiotic,35.00,40,2027-12-12,Suspension
AXE GOLD TEMPTATION 50ML,Personal Care/Hygiene,170.00,24,2029-05-05,Unit
AZITHROMYCIN 15ML SUSPENSION,Antibiotic,75.00,54,2028-10-07,Suspension
